Designer,Category,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
magaschoni,Contemporary,15,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
xcvi,Contemporary,15,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
issa london,Contemporary,15,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
jay godfrey,Contemporary,15,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0
rickie freeman for teri jon,Contemporary,15,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
donna karan,Contemporary,15,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
badgley mischka,Contemporary,15,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
pedro garcia,Contemporary,15,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nina ricci,Luxury,15,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
what comes around goes around,Luxury,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pringle of scotland,Premium,15,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
halston,Contemporary,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
red valentino,Contemporary,14,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
ports 1961,Contemporary,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
melissa odabash,Contemporary,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1
current/elliott,Contemporary,14,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
hudson,Contemporary,14,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jil sander,Premium,14,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
sergio rossi,Premium,14,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0
rachel roy new york,Contemporary,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
richard chai,Contemporary,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
halston heritage,Contemporary,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
helmut lang,Contemporary,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
herve leger,Contemporary,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
mcq by alexander mcqueen,Contemporary,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pringle 1815,Contemporary,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tibi,Contemporary,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
not your daughter's jeans,Contemporary,13,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
tadashi shoji,Contemporary,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
zimmermann,Contemporary,13,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
adidas by stella mccartney,Contemporary,13,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
parker,Contemporary,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
mackage,Contemporary,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
jack rogers,Contemporary,13,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0
rebecca minkoff,Contemporary,13,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
brunello cucinelli,Luxury,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
what goes around comes around,Luxury,13,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
moncler,Luxury,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
erdem,Premium,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
jason wu,Premium,13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1
liberty of london,Premium,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
alexander wang,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
elie saab,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
monique lhuillier,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
pamella roland,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
bailey 44,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
equipment,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
mcq alexander mcqueen,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
michael michael kors,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
rachel zoe,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
smythe,Contemporary,12,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
t by alexander wang,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
thakoon addition,Contemporary,12,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
theyskens' theory,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
ml monique lhuillier,Contemporary,12,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
